X,Y,country,nThumbsUp,city,reportRating,confidence,reliability,latitude,globalid,type,uuid,roadType,magvar,subtype,street,reportDescription,objectid,pubMillis,longitude
16.562431,49.183902,EZ,,Brno,0,0,6,49.183902,{1970CF3A-5CEA-2335-A0F1-6C56AE020DEF},ROAD_CLOSED,4997614f-1f0f-4997-80be-1b4e14cc5329,1,126,ROAD_CLOSED_EVENT,Kluchova,,912985,2023/08/13 10:01:14+00,16.562431
16.648584,49.190001,EZ,30,Brno,0,5,10,49.190001,{9A29B5C2-6D3A-5C86-3D74-E96A72E007D5},ROAD_CLOSED,b3a0437c-9346-4607-b787-431c259ad8bd,4,96,ROAD_CLOSED_EVENT,,,912987,2023/08/13 10:00:31+00,16.648584
16.567602,49.188637,EZ,24,Brno,0,5,10,49.188637,{A7591888-472F-4A82-158F-A7F42987CCE6},ROAD_CLOSED,dd39055d-17b0-44f3-bdf6-d33243caef48,4,51,ROAD_CLOSED_EVENT,Â» Kohoutovice / BVV-CLO,,912988,2023/08/13 10:01:15+00,16.567602
16.640823,49.212595,EZ,26,Brno,0,5,10,49.212595,{E3DBF405-3BE2-F088-A6A5-DE84AFE68645},ROAD_CLOSED,1b5670b6-5089-4a79-a369-38da9e4747ea,4,298,ROAD_CLOSED_EVENT,ProvaznÃ­kova,,912991,2023/08/13 10:00:52+00,16.640823
16.640853,49.189456,EZ,13,Brno,0,5,10,49.189456,{B6773052-5F71-29E3-875A-F767A78549B7},ROAD_CLOSED,bd6eb45d-e6da-456f-932c-7b9611dc42d3,4,83,ROAD_CLOSED_EVENT,Â» Kr. Pole / Husovice / Å½idenice / KomÃ¡rov,,912992,2023/08/13 10:01:11+00,16.640853
16.599639,49.208652,EZ,5,Brno,0,2,10,49.208652,{8F828542-880B-A298-B557-2D45E1387C7F},ROAD_CLOSED,77678972-b6d2-45ac-973a-249ecb4b4b65,1,68,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913005,2023/08/13 10:00:37+00,16.599639
16.648439,49.190675,EZ,22,Brno,0,5,10,49.190675,{19DFEB6D-4B9C-8D4F-7401-6038CCD7D0D3},ROAD_CLOSED,a39623a4-8581-4415-be75-5203eb5fd522,4,263,ROAD_CLOSED_EVENT,Â» Centrum / VÃ½staviÅ¡tÄ› BVV,,913018,2023/08/13 10:01:52+00,16.648439
16.559898,49.18475,EZ,,Brno,0,0,6,49.18475,{6CBF75C7-FE62-1EAF-BB32-A64B86B98836},ROAD_CLOSED,dbaa18f2-3a68-4648-8586-c3b8523fd7e4,1,286,ROAD_CLOSED_EVENT,Kluchova,,913024,2023/08/13 10:00:38+00,16.559898
16.647551,49.192555,EZ,,Brno,0,0,6,49.192555,{2C7CB402-528C-A491-6ADE-1FDD9F495703},ROAD_CLOSED,89bd769b-cbbd-47c9-8eb1-8a622217f2e0,1,249,ROAD_CLOSED_EVENT,,,913028,2023/08/13 10:00:48+00,16.647551
16.562431,49.183902,EZ,13,Brno,0,5,10,49.183902,{D1114A67-84D4-E515-1F54-75D02B5645F9},ROAD_CLOSED,0aaba39b-fd7d-44e4-b56a-4be416993969,1,27,ROAD_CLOSED_EVENT,Zoubkova,,913031,2023/08/13 10:00:39+00,16.562431
16.600691,49.208925,EZ,1,Brno,0,0,7,49.208925,{1175BFFC-6387-471A-6F71-63274EF76476},ROAD_CLOSED,9bcafa83-b3fb-460d-ae11-7e33d1f7beb0,1,248,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913052,2023/08/13 10:00:38+00,16.600691
16.562431,49.183902,EZ,,Brno,0,0,6,49.183902,{45126B74-5732-33F6-BCF4-4384B461C757},ROAD_CLOSED,645291c3-a6dc-42f1-a494-1671749d2661,1,297,ROAD_CLOSED_EVENT,Kluchova,,913060,2023/08/13 10:00:38+00,16.562431
16.568469,49.18909,EZ,13,Brno,0,5,10,49.18909,{0FBCAFAB-A775-291D-FDA0-7F3A390ED29C},ROAD_CLOSED,026994e0-18f3-4ee7-941e-dbd52d9a2dcd,4,97,ROAD_CLOSED_EVENT,Â» Kohoutovice / BVV-CLO,,913066,2023/08/13 10:01:15+00,16.568469
16.633025,49.201735,EZ,4,Brno,0,2,10,49.201735,{0321CE57-25E0-7CF5-D6CC-859CF88C5DA3},ROAD_CLOSED,d4aa6a50-6fac-427d-8685-a0ae9d32dd59,1,15,ROAD_CLOSED_EVENT,Å Ã¡malova,,913068,2023/08/13 10:01:38+00,16.633025
16.637491,49.214239,EZ,,Brno,0,0,6,49.214239,{976DD00B-C172-963B-625E-36D0525F299B},ROAD_CLOSED,c479ba67-5699-4746-8da5-2614f612fcd1,4,241,ROAD_CLOSED_EVENT,,,913073,2023/08/13 10:01:19+00,16.637491
16.602523,49.209396,EZ,8,Brno,0,4,10,49.209396,{1A5BB502-5EB4-21E7-1369-6ABD30BBE9D9},ROAD_CLOSED,bd7a4eb8-37ff-4344-bffd-1aaf9b5a7f0e,1,248,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913074,2023/08/13 10:01:04+00,16.602523
16.559898,49.18475,EZ,12,Brno,0,5,10,49.18475,{74143972-E4D9-7D75-9556-484DECD9D6DE},ROAD_CLOSED,69670302-c2ef-491b-8439-7254bc56b430,1,117,ROAD_CLOSED_EVENT,Kluchova,,913075,2023/08/13 10:01:58+00,16.559898
16.598949,49.208473,EZ,25,Brno,0,5,10,49.208473,{10271282-FEC2-B61D-5166-5965D8F3C2AC},ROAD_CLOSED,1b5c7919-6353-41b5-adb9-ed0f3fdc7299,1,68,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913087,2023/08/13 10:01:33+00,16.598949
16.635982,49.21367,EZ,2,Brno,0,1,8,49.21367,{7CB6D2B3-0402-7CB6-41D2-7CAEDD78111D},ROAD_CLOSED,a06e793b-a436-454b-8a73-4b79a6d6d666,4,210,ROAD_CLOSED_EVENT,,,913098,2023/08/13 10:02:11+00,16.635982
16.599639,49.208652,EZ,,Brno,0,0,6,49.208652,{753ECF41-09D2-5E85-9C32-8E7CA0E633EB},ROAD_CLOSED,cae9b73d-7423-4d8b-836b-b549d9ecf024,1,248,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913108,2023/08/13 10:01:34+00,16.599639
16.600691,49.208925,EZ,12,Brno,0,5,10,49.208925,{D09063B1-3B49-4B88-C787-D70428E04B2B},ROAD_CLOSED,f4721f38-bc11-41f2-a5e6-450bff13caf4,1,68,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913111,2023/08/13 10:01:30+00,16.600691
16.602523,49.209396,EZ,3,Brno,0,1,9,49.209396,{C5566C12-4195-A215-A501-51269B4EF18B},ROAD_CLOSED,c9ad6263-8f49-46de-98b3-7e021008c281,1,68,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913114,2023/08/13 10:01:33+00,16.602523
16.60317,49.209562,EZ,36,Brno,0,5,10,49.209562,{E6589C21-9D19-CA7A-015D-DCAB0A2A24E7},ROAD_CLOSED,290fd9ee-4ec9-49d4-8707-528c59173d15,1,248,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913215,2023/08/13 11:00:50+00,16.60317
16.56342,49.183422,EZ,19,Brno,0,5,10,49.183422,{AF0EE13B-0DF4-1D02-9423-3D6BDE993FFD},ROAD_CLOSED,49c7329b-05b7-482f-a267-b015cbf00bfd,1,306,ROAD_CLOSED_EVENT,Kluchova,,913219,2023/08/13 11:01:20+00,16.56342
